Document Count,Mean Posting List Size,Std Dev Posting List Size
35500,5805.166933333333,39889.38265237506
36000,5879.725866666667,40407.15567796768
36500,5968.145066666667,41016.742510986354
37000,6047.153066666667,41550.65315727024
37500,6129.582933333333,42133.106182850905
38000,6212.090666666667,42682.23403098194
38500,6292.3904,43248.463551901135
39000,6375.733333333334,43815.765599876126
39500,6452.8864,44342.061589233344
40000,6539.557333333333,44950.581310000656
40500,6617.856,45471.084336107466
41000,6702.177066666667,46069.97129995033
41500,6785.252266666666,46625.573964210846
42000,6859.6512,47141.386803370595
42500,6948.743466666667,47756.189119672475
43000,7027.5616,48287.931066217825
43500,7109.8304,48870.97965505538
44000,7193.744,49429.67154203704
44500,7272.2229333333335,49982.06254129609
45000,7355.8592,50552.11845376651
45500,7433.732266666667,51083.08193773014
46000,7519.3205333333335,51684.08982297156
46500,7598.347733333333,52209.75605138068
47000,7682.237866666666,52804.920683446
47500,7766.571733333333,53369.61593347837
48000,7839.602133333334,53876.01595014091
48500,7929.349333333334,54496.49859060519
49000,8008.042666666666,55026.62214520091
49500,8090.645333333333,55612.60172908606
50000,8173.930666666667,56166.60747547418
50500,8251.8848,56714.152113880096
51000,8336.109866666666,57289.44626105985
51500,8414.459733333333,57823.22803336254
52000,8498.909866666667,58417.00914849951
52500,8578.402133333333,58945.04677520034
53000,8662.592,59542.52349932054
53500,8747.128533333333,60109.17492543501
54000,8819.456,60610.6165353062
54500,8909.2992,61232.692045576
55000,8988.112,61762.320539860884
55500,9070.850133333333,62349.76510736354
56000,9154.807466666667,62908.55787601768
56500,9231.342933333333,63445.22465133526
57000,9316.4992,64028.30559562546
57500,9396.455466666666,64572.55602436289
58000,9480.056533333332,65161.465012325636
58500,9558.7168,65682.17653546965
59000,9642.677333333333,66278.2928188902
59500,9726.683733333333,66841.6961785958
60000,9799.640533333333,67346.88357287996
60500,9889.559466666668,67970.22729677701
61000,9967.636266666666,68494.46022603163
61500,10050.648533333333,69083.98868558527
62000,10135.0144,69645.71944600227
62500,10210.583466666667,70174.53389001147
63000,10296.974933333333,70767.56783991121
63500,10377.008,71311.32883112053
64000,10460.241066666667,71898.63835332273
64500,10539.540266666667,72423.25986741998
65000,10623.752533333334,73021.60699759009
65500,10706.305066666666,73574.32358360357
66000,10780.061866666667,74083.99624564835
66500,10870.743466666667,74715.429314078
67000,10947.675733333333,75229.43757522885
67500,11031.285333333333,75824.83174436669
68000,11115.544533333334,76384.29086500629
68500,11191.157333333333,76913.42922812061
69000,11277.598933333333,77506.58375277085
69500,11357.572266666666,78051.16358597594
70000,11440.546133333333,78635.15995918962
70500,11520.589866666667,79165.77256312597
71000,11604.036266666666,79758.28185949355
71500,11686.285866666667,80310.44126647137
72000,11761.444266666667,80826.93806116845
72500,11850.737066666667,81451.14910341248
73000,11928.634666666667,81973.22511217998
73500,12012.1408,82566.48731642422
74000,12095.968,83123.57942701002
74500,12170.861866666666,83646.47025926907
75000,12258.823466666667,84250.79863032617
75500,12337.946666666667,84788.98864100268
76000,12420.9152,85371.92076275984
76500,12501.837866666667,85909.63169327393
77000,12584.0608,86492.83514104217
77500,12666.490666666667,87048.29937883325
78000,12742.357333333333,87568.67339792417
78500,12830.932266666667,88188.11456876004
79000,12908.8512,88709.62186687531
79500,12992.948266666666,89307.80777241515
80000,13076.0736,89860.20827326807
80500,13152.142933333333,90389.96772422828
81000,13238.682666666668,90985.21996838003
81500,13317.966933333333,91524.54078495875
82000,13400.948266666666,92107.3461976998
82500,13482.279466666667,92647.00935251842
83000,13564.046933333333,93226.9767872222
83500,13647.294933333333,93791.08050329416
84000,13723.3728,94311.07862689698
84500,13811.246933333334,94926.99285252765
85000,13888.7712,95443.6046297019
85500,13973.092266666667,96043.35286385352
86000,14056.536533333334,96599.48152083976
86500,14131.650133333333,97121.35501722089
87000,14219.313066666668,97725.09994080398
87500,14298.283733333334,98260.51030446238
88000,14381.278933333333,98845.1135527339
88500,14463.1104,99389.02339828113
89000,14543.771733333333,99959.70681272272
89500,14627.6288,100529.90582389341
90000,14704.286933333333,101052.3917595795
90500,14791.371733333333,101663.60196336907
91000,14869.136,102181.06478345013
91500,14953.7632,102782.1373875516
92000,15036.8608,103337.1654497688
92500,15111.0528,103851.97027021553
93000,15200.1696,104466.90486476835
93500,15278.6208,104996.25041491307
94000,15361.1072,105579.92181689465
94500,15444.449066666666,106135.53967084386
95000,15523.9264,106695.0035246708
95500,15607.2832,107262.78076179729
96000,15684.829866666667,107791.36081121836
