Document Count,Indexing Duration Micros,Start of Document
407,10171,the the the the the the the
408,10017,the the the the the the the
409,10038,the the the the the the the
410,10184,the the the the the the the
411,11449,the the the the the the the
412,10213,the the the the the the the
413,10255,the the the the the the the
414,10286,the the the the the the the
415,10307,the the the the the the the
416,10328,the the the the the the the
417,10001,the the the the the the the
418,10059,the the the the the the the
419,11341,the the the the the the the
420,10411,the the the the the the the
421,10735,the the the the the the the
422,10353,the the the the the the the
423,10131,the the the the the the the
424,10725,the the the the the the the
425,10340,the the the the the the the
426,10527,the the the the the the the
427,10205,the the the the the the the
428,11760,the the the the the the the
429,10244,the the the the the the the
430,11643,the the the the the the the
431,10193,the the the the the the the
432,11372,the the the the the the the
433,10271,the the the the the the the
434,10346,the the the the the the the
435,10354,the the the the the the the
436,12126,the the the the the the the
437,10353,the the the the the the the
438,10310,the the the the the the the
439,10667,the the the the the the the
440,10552,the the the the the the the
441,10355,the the the the the the the
442,10387,the the the the the the the
443,10541,the the the the the the the
444,10371,the the the the the the the
445,10912,the the the the the the the
446,11362,the the the the the the the
447,12569,the the the the the the the
448,12701,the the the the the the the
449,10575,the the the the the the the
450,10411,the the the the the the the
451,11306,the the the the the the the
452,11874,the the the the the the the
453,10524,the the the the the the the
454,10383,the the the the the the the
455,10485,the the the the the the the
456,10446,the the the the the the the
457,10475,the the the the the the the
458,10555,the the the the the the the
459,10483,the the the the the the the
460,21596,the the the the the the the
461,20529,the the the the the the the
462,10515,the the the the the the the
463,10960,the the the the the the the
464,25165,the the the the the the the
465,10474,the the the the the the the
466,31539,the the the the the the the
467,12304,the the the the the the the
468,10527,the the the the the the the
469,19231,the the the the the the the
470,10994,the the the the the the the
471,10595,the the the the the the the
472,10447,the the the the the the the
473,10264,the the the the the the the
474,10421,the the the the the the the
475,10486,the the the the the the the
476,10421,the the the the the the the
477,10191,the the the the the the the
478,10279,the the the the the the the
479,10391,the the the the the the the
480,10272,the the the the the the the
481,10370,the the the the the the the
482,10540,the the the the the the the
483,10425,the the the the the the the
484,10505,the the the the the the the
485,10436,the the the the the the the
486,10364,the the the the the the the
487,10394,the the the the the the the
488,10468,the the the the the the the
489,10607,the the the the the the the
490,10226,the the the the the the the
491,10431,the the the the the the the
492,10630,the the the the the the the
493,10475,the the the the the the the
494,10658,the the the the the the the
495,10387,the the the the the the the
496,10517,the the the the the the the
497,10446,the the the the the the the
498,10404,the the the the the the the
499,10419,the the the the the the the
500,10683,the the the the the the the
501,10560,the the the the the the the
502,10481,the the the the the the the
503,10508,the the the the the the the
504,10419,the the the the the the the
505,10502,the the the the the the the
506,10442,the the the the the the the
507,10393,the the the the the the the
508,10544,the the the the the the the
509,10450,the the the the the the the
510,10448,the the the the the the the
511,10566,the the the the the the the
512,10462,the the the the the the the
513,10412,the the the the the the the
514,10378,the the the the the the the
515,10382,the the the the the the the
516,10504,the the the the the the the
517,10438,the the the the the the the
518,10425,the the the the the the the
519,10421,the the the the the the the
520,10373,the the the the the the the
521,10673,the the the the the the the
522,10481,the the the the the the the
523,10427,the the the the the the the
524,10372,the the the the the the the
525,10431,the the the the the the the
526,10383,the the the the the the the
527,10498,the the the the the the the
528,10507,the the the the the the the
529,10386,the the the the the the the
530,10392,the the the the the the the
531,10454,the the the the the the the
532,10425,the the the the the the the
533,10359,the the the the the the the
534,10412,the the the the the the the
535,10458,the the the the the the the
536,17088,the the the the the the the
537,10435,the the the the the the the
538,10467,the the the the the the the
539,12110,the the the the the the the
540,19336,the the the the the the the
541,16413,the the the the the the the
542,12800,the the the the the the the
543,35479,the the the the the the the
544,12045,the the the the the the the
545,19046,the the the the the the the
546,12336,the the the the the the the
547,10692,the the the the the the the
548,10742,the the the the the the the
549,17362,the the the the the the the
550,18345,the the the the the the the
551,11023,the the the the the the the
552,16785,the the the the the the the
553,59709,the the the the the the the
554,25601,the the the the the the the
555,14228,the the the the the the the
556,21736,the the the the the the the
557,14424,the the the the the the the
558,35949,the the the the the the the
559,30586,the the the the the the the
560,20661,the the the the the the the
561,16579,the the the the the the the
562,17849,the the the the the the the
563,10735,the the the the the the the
564,17567,the the the the the the the
565,16215,the the the the the the the
566,12289,the the the the the the the
567,17025,the the the the the the the
568,14139,the the the the the the the
569,13072,the the the the the the the
570,33603,the the the the the the the
571,23004,the the the the the the the
572,15143,the the the the the the the
573,17281,the the the the the the the
574,10448,the the the the the the the
575,35054,the the the the the the the
576,14046,the the the the the the the
577,12868,the the the the the the the
578,15831,the the the the the the the
579,18173,the the the the the the the
580,10555,the the the the the the the
581,12844,the the the the the the the
582,14377,the the the the the the the
583,54403,the the the the the the the
584,39659,the the the the the the the
585,12513,the the the the the the the
586,19242,the the the the the the the
587,18826,the the the the the the the
588,21875,the the the the the the the
589,13770,the the the the the the the
590,27549,the the the the the the the
591,24477,the the the the the the the
592,20122,the the the the the the the
593,10438,the the the the the the the
594,14619,the the the the the the the
595,12286,the the the the the the the
596,12534,the the the the the the the
597,16892,the the the the the the the
598,12107,the the the the the the the
599,12212,the the the the the the the
600,10655,the the the the the the the
601,10744,the the the the the the the
602,18844,the the the the the the the
603,17989,the the the the the the the
604,31529,the the the the the the the
605,13032,the the the the the the the
606,10720,the the the the the the the
607,17370,the the the the the the the
608,18517,the the the the the the the
609,14561,the the the the the the the
610,12934,the the the the the the the
611,10703,the the the the the the the
612,10394,the the the the the the the
613,10399,the the the the the the the
614,10405,the the the the the the the
615,10407,the the the the the the the
616,15447,the the the the the the the
617,15065,the the the the the the the
618,36297,the the the the the the the
619,18745,the the the the the the the
620,26517,the the the the the the the
621,24964,the the the the the the the
622,22123,the the the the the the the
623,14945,the the the the the the the
624,23256,the the the the the the the
625,14796,the the the the the the the
626,13563,the the the the the the the
627,15965,the the the the the the the
628,10842,the the the the the the the
629,31365,the the the the the the the
630,22822,the the the the the the the
631,33614,the the the the the the the
632,22497,the the the the the the the
633,10680,the the the the the the the
634,13855,the the the the the the the
635,16631,the the the the the the the
636,15511,the the the the the the the
637,10455,the the the the the the the
638,14063,the the the the the the the
639,10628,the the the the the the the
640,10380,the the the the the the the
641,14163,the the the the the the the
642,14331,the the the the the the the
643,10451,the the the the the the the
644,14193,the the the the the the the
645,10570,the the the the the the the
646,42555,the the the the the the the
647,32671,the the the the the the the
648,20713,the the the the the the the
649,46053,the the the the the the the
650,26127,the the the the the the the
651,23458,the the the the the the the
652,40094,the the the the the the the
653,50962,the the the the the the the
654,36723,the the the the the the the
655,10804,the the the the the the the
656,16227,the the the the the the the
657,13131,the the the the the the the
658,22239,the the the the the the the
659,13006,the the the the the the the
660,11424,the the the the the the the
661,10479,the the the the the the the
662,11863,the the the the the the the
663,10764,the the the the the the the
664,21939,the the the the the the the
665,10769,the the the the the the the
666,17996,the the the the the the the
667,17584,the the the the the the the
668,20336,the the the the the the the
669,14169,the the the the the the the
670,26735,the the the the the the the
671,50642,the the the the the the the
672,18805,the the the the the the the
673,14172,the the the the the the the
674,18371,the the the the the the the
675,10716,the the the the the the the
676,12983,the the the the the the the
677,13217,the the the the the the the
678,19627,the the the the the the the
679,31937,the the the the the the the
680,12523,the the the the the the the
681,53069,the the the the the the the
682,35704,the the the the the the the
683,50614,the the the the the the the
684,15326,the the the the the the the
685,28375,the the the the the the the
686,35605,the the the the the the the
687,45823,the the the the the the the
688,14529,the the the the the the the
689,13541,the the the the the the the
690,14525,the the the the the the the
691,13456,the the the the the the the
692,16609,the the the the the the the
693,18421,the the the the the the the
694,23703,the the the the the the the
695,21194,the the the the the the the
696,14647,the the the the the the the
697,61130,the the the the the the the
698,16568,the the the the the the the
699,47406,the the the the the the the
700,19925,the the the the the the the
701,24069,the the the the the the the
702,23698,the the the the the the the
703,18132,the the the the the the the
704,16365,the the the the the the the
705,17021,the the the the the the the
706,33720,the the the the the the the
707,19353,the the the the the the the
708,40268,the the the the the the the
709,56050,the the the the the the the
710,23339,the the the the the the the
711,43507,the the the the the the the
712,19543,the the the the the the the
713,16838,the the the the the the the
714,40838,the the the the the the the
715,22735,the the the the the the the
716,16409,the the the the the the the
717,12202,the the the the the the the
718,12590,the the the the the the the
719,15984,the the the the the the the
720,12167,the the the the the the the
721,10494,the the the the the the the
722,10471,the the the the the the the
723,13063,the the the the the the the
724,16928,the the the the the the the
725,34072,the the the the the the the
726,14233,the the the the the the the
727,31832,the the the the the the the
728,100589,the the the the the the the
729,21284,the the the the the the the
730,27377,the the the the the the the
731,22468,the the the the the the the
732,29061,the the the the the the the
733,10399,the the the the the the the
734,27874,the the the the the the the
735,18542,the the the the the the the
736,25727,the the the the the the the
737,16311,the the the the the the the
738,10404,the the the the the the the
739,19578,the the the the the the the
740,10662,the the the the the the the
741,23235,the the the the the the the
742,32328,the the the the the the the
743,18374,the the the the the the the
744,24886,the the the the the the the
745,48208,the the the the the the the
746,31782,the the the the the the the
747,52734,the the the the the the the
748,19343,the the the the the the the
749,31703,the the the the the the the
750,46762,the the the the the the the
751,18993,the the the the the the the
752,32795,the the the the the the the
753,36191,the the the the the the the
754,36440,the the the the the the the
755,21460,the the the the the the the
756,30921,the the the the the the the
757,27913,the the the the the the the
758,32834,the the the the the the the
759,15501,the the the the the the the
760,30983,the the the the the the the
761,10458,the the the the the the the
762,39084,the the the the the the the
763,10780,the the the the the the the
764,39323,the the the the the the the
765,30986,the the the the the the the
766,31718,the the the the the the the
767,13393,the the the the the the the
768,39887,the the the the the the the
769,34411,the the the the the the the
770,40633,the the the the the the the
771,41789,the the the the the the the
772,21496,the the the the the the the
773,45694,the the the the the the the
774,17603,the the the the the the the
775,39413,the the the the the the the
776,19915,the the the the the the the
777,36494,the the the the the the the
778,17750,the the the the the the the
779,139231,the the the the the the the
780,21535,the the the the the the the
781,19431,the the the the the the the
782,38991,the the the the the the the
783,14855,the the the the the the the
784,29380,the the the the the the the
785,36503,the the the the the the the
786,16606,the the the the the the the
787,12466,the the the the the the the
788,14113,the the the the the the the
789,11961,the the the the the the the
790,15214,the the the the the the the
791,17357,the the the the the the the
792,10926,the the the the the the the
793,12535,the the the the the the the
794,13965,the the the the the the the
795,10488,the the the the the the the
796,41101,the the the the the the the
797,17245,the the the the the the the
798,24727,the the the the the the the
799,53619,the the the the the the the
800,11109,the the the the the the the
801,10942,the the the the the the the
802,24155,the the the the the the the
803,27153,the the the the the the the
804,12557,the the the the the the the
805,33476,the the the the the the the
806,32250,the the the the the the the
807,16102,the the the the the the the
808,10879,the the the the the the the
809,34031,the the the the the the the
810,19323,the the the the the the the
811,11442,the the the the the the the
812,96167,the the the the the the the
813,28707,the the the the the the the
814,19679,the the the the the the the
815,36660,the the the the the the the
816,25814,the the the the the the the
817,16998,the the the the the the the
818,31145,the the the the the the the
819,21483,the the the the the the the
820,21594,the the the the the the the
821,12682,the the the the the the the
822,39441,the the the the the the the
823,11259,the the the the the the the
824,29524,the the the the the the the
825,26468,the the the the the the the
826,14087,the the the the the the the
827,25617,the the the the the the the
828,32183,the the the the the the the
829,17598,the the the the the the the
830,36564,the the the the the the the
831,74840,the the the the the the the
832,92659,the the the the the the the
833,29406,the the the the the the the
834,29219,the the the the the the the
835,37890,the the the the the the the
836,33838,the the the the the the the
837,25720,the the the the the the the
838,25200,the the the the the the the
839,47857,the the the the the the the
840,12488,the the the the the the the
841,17492,the the the the the the the
842,41986,the the the the the the the
843,13076,the the the the the the the
844,31267,the the the the the the the
845,15794,the the the the the the the
846,19021,the the the the the the the
847,16204,the the the the the the the
848,14811,the the the the the the the
849,14137,the the the the the the the
850,25916,the the the the the the the
851,34647,the the the the the the the
852,54028,the the the the the the the
853,31813,the the the the the the the
854,35252,the the the the the the the
855,52034,the the the the the the the
856,12822,the the the the the the the
857,25844,the the the the the the the
858,19590,the the the the the the the
859,32479,the the the the the the the
860,40870,the the the the the the the
861,16935,the the the the the the the
862,19037,the the the the the the the
863,20924,the the the the the the the
864,13916,the the the the the the the
865,13237,the the the the the the the
866,15219,the the the the the the the
867,13775,the the the the the the the
868,10676,the the the the the the the
869,24310,the the the the the the the
870,77578,the the the the the the the
871,12866,the the the the the the the
872,37640,the the the the the the the
873,23886,the the the the the the the
874,32790,the the the the the the the
875,23771,the the the the the the the
876,12555,the the the the the the the
877,12592,the the the the the the the
878,16415,the the the the the the the
879,28603,the the the the the the the
880,10466,the the the the the the the
881,10538,the the the the the the the
882,24391,the the the the the the the
883,32294,the the the the the the the
884,24093,the the the the the the the
885,71878,the the the the the the the
886,11977,the the the the the the the
887,13169,the the the the the the the
888,19256,the the the the the the the
889,12200,the the the the the the the
890,17260,the the the the the the the
891,11378,the the the the the the the
892,17725,the the the the the the the
893,14834,the the the the the the the
894,50045,the the the the the the the
895,28475,the the the the the the the
896,17948,the the the the the the the
897,10435,the the the the the the the
898,16165,the the the the the the the
899,14024,the the the the the the the
900,10446,the the the the the the the
901,30099,the the the the the the the
902,10953,the the the the the the the
903,21512,the the the the the the the
904,22364,the the the the the the the
905,12569,the the the the the the the
906,10393,the the the the the the the
907,40948,the the the the the the the
908,10721,the the the the the the the
909,10441,the the the the the the the
910,36062,the the the the the the the
911,19561,the the the the the the the
912,24769,the the the the the the the
913,18646,the the the the the the the
914,20834,the the the the the the the
915,23786,the the the the the the the
916,39215,the the the the the the the
917,19706,the the the the the the the
918,12991,the the the the the the the
919,25324,the the the the the the the
920,12649,the the the the the the the
921,19750,the the the the the the the
922,33538,the the the the the the the
923,18880,the the the the the the the
924,39698,the the the the the the the
925,21517,the the the the the the the
926,28400,the the the the the the the
927,26940,the the the the the the the
928,24943,the the the the the the the
929,14561,the the the the the the the
930,16887,the the the the the the the
931,12367,the the the the the the the
932,10520,the the the the the the the
933,12643,the the the the the the the
934,10641,the the the the the the the
935,23135,the the the the the the the
936,18291,the the the the the the the
937,25785,the the the the the the the
938,15890,the the the the the the the
939,23263,the the the the the the the
940,27145,the the the the the the the
941,43442,the the the the the the the
942,32981,the the the the the the the
943,15429,the the the the the the the
944,10724,the the the the the the the
945,32419,the the the the the the the
946,31841,the the the the the the the
947,22806,the the the the the the the
948,14049,the the the the the the the
949,23374,the the the the the the the
950,10670,the the the the the the the
951,12506,the the the the the the the
952,18427,the the the the the the the
953,35585,the the the the the the the
954,41444,the the the the the the the
955,31309,the the the the the the the
956,30376,the the the the the the the
957,19927,the the the the the the the
958,36842,the the the the the the the
959,23239,the the the the the the the
960,11971,the the the the the the the
961,39934,the the the the the the the
962,63769,the the the the the the the
963,27092,the the the the the the the
964,22517,the the the the the the the
965,25865,the the the the the the the
966,26884,the the the the the the the
967,10397,the the the the the the the
968,35842,the the the the the the the
969,10610,the the the the the the the
970,21666,the the the the the the the
971,10438,the the the the the the the
972,63821,the the the the the the the
973,55367,the the the the the the the
974,24664,the the the the the the the
975,35304,the the the the the the the
976,32178,the the the the the the the
977,22907,the the the the the the the
978,26148,the the the the the the the
979,24026,the the the the the the the
980,28129,the the the the the the the
981,20334,the the the the the the the
982,28346,the the the the the the the
983,15549,the the the the the the the
984,17849,the the the the the the the
985,16571,the the the the the the the
986,12250,the the the the the the the
987,19081,the the the the the the the
988,37749,the the the the the the the
989,31135,the the the the the the the
990,40135,the the the the the the the
991,16726,the the the the the the the
992,11360,the the the the the the the
993,20313,the the the the the the the
994,25836,the the the the the the the
995,17815,the the the the the the the
996,13695,the the the the the the the
997,23092,the the the the the the the
998,60164,the the the the the the the
999,13036,the the the the the the the
1000,11379,the the the the the the the
1001,12840,the the the the the the the
1002,41287,the the the the the the the
1003,21266,the the the the the the the
1004,29556,the the the the the the the
1005,18086,the the the the the the the
1006,13393,the the the the the the the
1007,31704,the the the the the the the
1008,23908,the the the the the the the
1009,36074,the the the the the the the
1010,48859,the the the the the the the
1011,17835,the the the the the the the
1012,30709,the the the the the the the
1013,10566,the the the the the the the
1014,15667,the the the the the the the
1015,31461,the the the the the the the
1016,18307,the the the the the the the
1017,26689,the the the the the the the
1018,23119,the the the the the the the
1019,26164,the the the the the the the
1020,29116,the the the the the the the
1021,25252,the the the the the the the
1022,34139,the the the the the the the
1023,36860,the the the the the the the
1024,15728,the the the the the the the
1025,28321,the the the the the the the
1026,27119,the the the the the the the
1027,19432,the the the the the the the
1028,36165,the the the the the the the
1029,11994,the the the the the the the
1030,31457,the the the the the the the
1031,37101,the the the the the the the
1032,24104,the the the the the the the
1033,14828,the the the the the the the
1034,21207,the the the the the the the
1035,15916,the the the the the the the
1036,10573,the the the the the the the
1037,17674,the the the the the the the
1038,15968,the the the the the the the
1039,16761,the the the the the the the
1040,75055,the the the the the the the
1041,22289,the the the the the the the
1042,20631,the the the the the the the
1043,21785,the the the the the the the
1044,15026,the the the the the the the
1045,16201,the the the the the the the
1046,16398,the the the the the the the
1047,26188,the the the the the the the
1048,15995,the the the the the the the
1049,22496,the the the the the the the
1050,18962,the the the the the the the
1051,30352,the the the the the the the
1052,14808,the the the the the the the
1053,16845,the the the the the the the
1054,13525,the the the the the the the
1055,24228,the the the the the the the
1056,10408,the the the the the the the
1057,14358,the the the the the the the
1058,29043,the the the the the the the
1059,47552,the the the the the the the
1060,11714,the the the the the the the
1061,36057,the the the the the the the
1062,39188,the the the the the the the
1063,19303,the the the the the the the
1064,38932,the the the the the the the
1065,25471,the the the the the the the
