Document Count,Indexing Duration
627,107.5µs
628,66.333µs
629,4.334µs
630,7.833µs
631,103µs
632,9.5µs
633,38.333µs
634,50.583µs
635,12.917µs
636,17.084µs
637,2.833µs
638,43.792µs
639,10.291µs
640,32.959µs
641,23.167µs
642,18.584µs
643,15.541µs
644,3.5µs
645,8.042µs
646,63.625µs
647,23.417µs
648,35.083µs
649,6.375µs
650,12.542µs
651,25.125µs
652,170.333µs
653,80.167µs
654,7.416µs
655,2.791µs
656,103.792µs
657,50.333µs
658,53.75µs
659,37.333µs
660,6.166µs
661,34.792µs
662,1.75µs
663,212.417µs
664,72.375µs
665,4.292µs
666,93.333µs
667,117.833µs
668,160.625µs
669,57.959µs
670,192.083µs
671,117.542µs
672,193.25µs
673,30.959µs
674,4.542µs
675,23.5µs
676,47.208µs
677,49.417µs
678,2.959µs
679,6.75µs
680,10.291µs
681,4.625µs
682,24.458µs
683,25.5µs
684,28.542µs
685,9.292µs
686,9.875µs
687,17.084µs
688,8.5µs
689,28.958µs
690,28.084µs
691,19.792µs
692,39.291µs
693,2.792µs
694,115.084µs
695,93.209µs
696,121.041µs
697,8.583µs
698,17.208µs
699,48.333µs
700,158.333µs
701,23.458µs
702,5.667µs
703,8.584µs
704,84.083µs
705,9.833µs
706,9.291µs
707,20µs
708,3.042µs
709,4.5µs
710,31.208µs
711,35.459µs
712,57.791µs
713,4.5µs
714,75.209µs
715,40.667µs
716,23.833µs
717,171.084µs
718,30.792µs
719,21.667µs
720,46.25µs
721,22.125µs
722,164.875µs
723,138.333µs
724,92.833µs
725,79.167µs
726,47.875µs
727,23.333µs
728,74.042µs
729,24.958µs
730,205.333µs
731,53.375µs
732,93.333µs
733,174.583µs
734,23µs
735,38.042µs
736,5.375µs
737,21.958µs
738,217.875µs
739,54.125µs
740,98.25µs
741,4.292µs
742,54.542µs
743,103.25µs
744,216.125µs
745,49.666µs
746,41.792µs
747,148.041µs
748,13.042µs
749,316µs
750,91.542µs
751,154.916µs
752,41.375µs
753,19.167µs
754,68.25µs
755,31.166µs
756,66.041µs
757,12.542µs
758,21.792µs
759,15.583µs
760,46.458µs
761,11.167µs
762,19.292µs
763,85.5µs
764,106.834µs
765,3.708µs
766,46.292µs
767,169.125µs
768,54.25µs
769,18.792µs
770,5.417µs
771,457.5µs
772,50.75µs
773,201.25µs
774,150.416µs
775,223.167µs
776,190.667µs
777,7.041µs
778,237.291µs
779,162.458µs
780,115.5µs
781,262.583µs
782,82.625µs
783,95.209µs
784,39.833µs
785,197.5µs
786,514.75µs
787,4.459µs
788,88µs
789,384.625µs
790,346.125µs
791,101.125µs
792,245.916µs
793,216.917µs
794,119.125µs
795,8.167µs
796,187.917µs
797,101.875µs
798,245.083µs
799,47.042µs
800,43.916µs
801,22.917µs
802,17.875µs
803,22.209µs
804,21.208µs
805,493.791µs
806,5.125µs
807,60.208µs
808,58.166µs
809,128.542µs
810,35.417µs
811,4.084µs
812,5.583µs
813,693.625µs
814,13.125µs
815,63.708µs
816,31.375µs
817,13.583µs
818,69.417µs
819,3.417µs
820,81.042µs
821,71.125µs
822,21.208µs
823,47.208µs
824,36.833µs
825,148.291µs
826,222.25µs
827,108.083µs
828,113.625µs
829,179.25µs
830,95.75µs
831,92.334µs
832,160.417µs
833,119.083µs
834,94.209µs
835,76.833µs
836,27µs
837,12.625µs
838,21.125µs
839,39.125µs
840,310.584µs
841,192.125µs
842,98.416µs
843,409.958µs
844,219.167µs
845,179.25µs
846,100.25µs
847,69.833µs
848,93.333µs
849,12.834µs
850,30.292µs
851,60.209µs
852,123.209µs
853,263.042µs
854,437.958µs
855,54.542µs
856,123.75µs
857,114.542µs
858,11.708µs
859,19.042µs
860,71.167µs
861,236.5µs
862,57.458µs
863,272.75µs
864,4.75µs
865,202.084µs
866,100.791µs
867,4.625µs
868,45.334µs
869,242.958µs
870,83.208µs
871,229.25µs
872,96.458µs
873,270.791µs
874,84.375µs
875,4.459µs
876,121.042µs
877,108.167µs
878,171.625µs
879,251.458µs
880,391.917µs
881,264.375µs
882,90.166µs
883,293.334µs
884,459.083µs
885,45.583µs
886,205.292µs
887,5.042µs
888,19.833µs
889,93.792µs
890,501.334µs
891,340.166µs
892,291.709µs
893,597.917µs
894,110.208µs
895,72.125µs
896,145.042µs
897,20.916µs
898,79.417µs
899,179.75µs
900,112.625µs
901,4.959µs
902,5.167µs
903,51µs
904,77.542µs
905,78.459µs
906,20.416µs
907,25.958µs
908,37.042µs
909,21.333µs
910,13.709µs
911,125.834µs
912,9.791µs
913,15.958µs
914,28.708µs
915,8.916µs
916,5.541µs
917,10.375µs
918,7.125µs
919,44.667µs
920,49.167µs
921,47.667µs
922,61.542µs
923,82.834µs
924,21.125µs
925,37.917µs
926,44.917µs
927,18.959µs
928,14.458µs
929,18.75µs
930,22.584µs
931,44.208µs
932,82.125µs
933,60.208µs
934,167.875µs
935,26.583µs
936,50.917µs
937,59.792µs
938,66.042µs
939,19.25µs
940,28µs
941,456.459µs
942,14.709µs
943,144.042µs
944,7.25µs
945,106.458µs
946,85.875µs
947,122.666µs
948,121.709µs
949,3.104583ms
950,45.458µs
951,60.875µs
952,169.25µs
953,3.5µs
954,12.625µs
955,30.084µs
956,118.333µs
957,165.333µs
958,268.583µs
959,3.292µs
960,9.25µs
961,183.208µs
962,7.833µs
963,192.917µs
964,4.416µs
965,1.542µs
966,6.833µs
967,186.458µs
968,29.833µs
969,30µs
970,4.791µs
971,6.208µs
972,18.75µs
973,18.5µs
974,18.834µs
975,4.5µs
976,65.916µs
977,11.333µs
978,50.625µs
979,81.875µs
