Document Count,Query,Query Duration Micros
146500,say you desire my mother’s good opinion; I assure you,617
147000,how wretched it made me to think of marrying M.,244
147500,smiling.,1178
148000,"enough of this,” said",4480
148500,"Bertuccio,” said the count, “I now advise you",231
149000,“Where is,12144
149500,"Noirtier, “since you are well acquainted with all these details,",309
150000,are you talking,1453
150500,yet it,10329
151000,des,275
151500,Château-Renaud and Beauchamp. But his eyes scarcely,210
152000,"“I do not know,” said the servant, “but",2213
152500,and without,10941
153000,"the doctor had just left, but also",1941
153500,not,62441
154000,and it was with one,32394
154500,“What signal?”,319
155000,"that I like in him,” said Dorothea, rather impetuously.",69
155500,give that as,9121
156000,be right to,7756
156500,"very great beauty who married badly at last,",321
157000,"all very fine, you know,” said",2186
157500,will bind me to.,222
158000,is come round as I,4633
158500,"before her, and then",15379
159000,be open with me:,2978
159500,"in Eden, but had",35
160000,you gather,409
160500,"at this point, as",2720
161000,Alyosha stopped dead. Rakitin,26
161500,it. I’ve a word to say to you,1405
162000,"just now, she is a heavenly angel",400
162500,be,46930
163000,take you up? I don’t want to know you,5113
163500,Drive up with,754
164000,"my father, who has killed him? Who can have killed",1192
164500,“But why is it? Why?” foolish Mitya still persisted.,184
165000,"Excellency,” faltered the",97
165500,"able to sham a fit, and I don’t advise you",58
166000,"striking, this was a surprise",517
166500,awkward for,302
167000,"then, why didn’t",2705
167500,over them while he trolled out the,22
168000,I,93037
168500,vigor.,82
169000,“God be praised!”,257
169500,III,1050
170000,stand true and not,2677
170500,"mob kneel within, hundreds knelt on the",206
